"Name";"ISIN";"Symbol";"Market";"Trading Currency";"Open";"High";"Low";"Last";"Last Date/Time";"Time Zone";"Volume";"Turnover"
"DEUTSCHE TELEKOM";"DE0005557508";"DTEL";"Traded not listed Amsterdam";"EUR";"9.77";"9.77";"9.77";"9.77";"07/09/2012 14:20";"CET";"500";"4885.00"
"DEUTSCHE TELEKOM";"DE0005557508";"DTEd";"NYSE Arca Europe";"EUR";"9.676";"9.676";"9.676";"9.676";"07/09/2012 16:25";"CET";"288";"2786.688"
"DEUTSCHE WOHNEN P";"DE000A0HN5C6";"DWNId";"NYSE Arca Europe";"EUR";"13.54";"13.54";"13.54";"13.54";"31/08/2012 09:03";"CET";"115";"1557.10"
"DEUTZ";"DE0006305006";"DEZd";"NYSE Arca Europe";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"DEVERNOIS";"FR0000060840";"DEVR";"NYSE Euronext Paris";"EUR";"71.00";"71.00";"71.00";"71.00";"07/09/2012 16:32";"CET";"10";"710.00"
"DEVGEN";"BE0003821387";"DEVG";"NYSE Euronext Brussels";"EUR";"10.07";"10.07";"9.73";"9.78";"07/09/2012 17:35";"CET";"69786";"694988.35"
"DEVON ENERGY";"US25179M1036";"DVNn";"NYSE Arca Europe";"USD";"-";"-";"-";"-";"-";"-";"-";"-"
"DEVOTEAM";"FR0000073793";"DVT";"NYSE Euronext Paris";"EUR";"9.34";"9.34";"9.07";"9.17";"07/09/2012 17:35";"CET";"8816";"80875.50"
"DEVOTEAM BSAR1112";"FR0010379529";"DVTBS";"NYSE Euronext Paris";"EUR";"0.639";"0.639";"0.639";"0.639";"15/09/2011 09:00";"CET";"5";"-"
"DEVRO";"GB0002670437";"DVOl";"NYSE Arca Europe";"GBP";"299.50";"299.50";"297.90";"297.90";"31/07/2012 15:29";"CET";"846";"630401.40"
"DEXIA";"BE0003796134";"DEXB";"NYSE Euronext Brussels,Paris";"EUR";"0.22";"0.23";"0.21";"0.23";"07/09/2012 17:35";"CET";"5037146";"1109141.10"
"DEXIA STRIP";"BE0005587580";"DEXSB";"NYSE Euronext Brussels,Paris";"EUR";"0.001";"0.001";"0.001";"0.001";"03/09/2012 15:00";"CET";"10000";"10.00"
"DEXION ABSOLUT GBP";"GB0032287020";"DABl";"NYSE Arca Europe";"GBP";"134.50";"134.50";"134.50";"134.50";"14/06/2012 17:27";"CET";"900";"121050.00"
"DIA";"ES0126775032";"DIAe";"NYSE Arca Europe";"EUR";"3.38";"3.38";"3.38";"3.38";"23/04/2012 15:46";"CET";"33";"111.54"
"DIAGEO";"GB0002374006";"DGE";"NYSE Euronext Paris";"EUR";"22.33";"22.53";"21.41";"21.41";"07/09/2012 17:01";"CET";"768";"16842.58"
"DIAGEO";"GB0002374006";"DGEl";"NYSE Arca Europe";"GBP";"1721.00";"1721.00";"1702.00";"1702.00";"07/09/2012 17:25";"CET";"782";"2230213.00"
"DIAGNOSTIC MEDICAL";"FR0000063224";"DGM";"NYSE Euronext Paris";"EUR";"0.21";"0.22";"0.21";"0.22";"07/09/2012 17:19";"CET";"296627";"62411.37"
"DIASORIN";"IT0003492391";"DIAm";"NYSE Arca Europe";"EUR";"23.35";"23.35";"23.35";"23.35";"09/07/2012 16:56";"CET";"15";"350.25"
"DICO INTERNATIONAL";"NL0009733351";"DICO";"NYSE Euronext Amsterdam";"EUR";"1.80";"1.80";"1.80";"1.80";"06/09/2012 11:30";"CET";"1";"1.80"
"DIEGEM KENNEDYCERT";"BE0003698124";"DIEG";"NYSE Euronext Brussels";"EUR";"106.50";"106.50";"106.50";"106.50";"07/09/2012 15:00";"CET";"6";"639.00"
"DIETSWELL";"FR0010377127";"ALDIE";"NYSE Alternext Paris";"EUR";"1.00";"1.00";"1.00";"1.00";"07/09/2012 15:30";"CET";"520";"520.00"
"DIGIGRAM";"FR0000035784";"DIG";"NYSE Euronext Paris";"EUR";"0.75";"0.75";"0.75";"0.75";"07/09/2012 11:30";"CET";"1060";"795.00"
"DIGITECH";"FR0000079824";"MLDIG";"Marché Libre Paris";"EUR";"0.56";"0.56";"0.56";"0.56";"31/08/2012 15:00";"CET";"69";"38.64"
"DIGNITY";"GB00B4JZFN18";"DTYl";"NYSE Arca Europe";"GBP";"841.00";"841.00";"841.00";"841.00";"30/07/2012 16:41";"CET";"1600";"1345600.00"
"DISTRI-LAND CERT";"BE0003605160";"DISL";"NYSE Euronext Brussels";"EUR";"327.54";"327.54";"327.54";"327.54";"24/08/2012 15:00";"CET";"21";"6878.34"
"DIXONS RETAIL PLC";"GB0000472455";"DXNSl";"NYSE Arca Europe";"GBP";"15.86";"15.86";"15.86";"15.86";"30/07/2012 09:08";"CET";"1277";"20253.22"
"DKSH HOLDING";"CH0126673539";"DKSHz";"NYSE Arca Europe";"CHF";"55.75";"55.75";"55.70";"55.70";"13/08/2012 15:21";"CET";"67";"3733.45"
"DL SOFTWARE";"FR0010357079";"ALSDL";"NYSE Alternext Paris";"EUR";"7.24";"7.54";"7.24";"7.54";"07/09/2012 11:16";"CET";"429";"3148.46"
"DLY MAIL&GEN TST A";"GB0009457366";"DMGTl";"NYSE Arca Europe";"GBP";"496.50";"496.50";"496.50";"496.50";"07/09/2012 12:26";"CET";"324";"160866.00"
"DMS BSA D";"FR0010944884";"DGMBD";"NYSE Euronext Paris";"EUR";"0.029";"0.033";"0.028";"0.033";"06/09/2012 17:04";"CET";"89594";"2707.48"
"DNB NOR";"NO0010031479";"DNBNOo";"NYSE Arca Europe";"NOK";"70.15";"70.15";"70.15";"70.15";"07/09/2012 09:45";"CET";"92";"6453.80"
"DNO INTERNATIONAL";"NO0003921009";"DNOo";"NYSE Arca Europe";"NOK";"6.85";"6.85";"6.85";"6.85";"09/07/2012 15:45";"CET";"551";"3774.35"
"DNXCORP";"FR0010436584";"DNX";"NYSE Euronext Paris";"EUR";"17.65";"17.65";"17.00";"17.40";"07/09/2012 17:35";"CET";"4188";"72428.39"
"DOC DATA";"NL0000345627";"DOCD";"NYSE Euronext Amsterdam";"EUR";"13.175";"13.30";"12.95";"13.015";"07/09/2012 17:22";"CET";"3736";"49292.075"
"DOCK.PETR.AMBES AM";"FR0000065260";"DPAM";"NYSE Euronext Paris";"EUR";"79.53";"79.53";"79.53";"79.53";"30/08/2012 16:30";"CET";"38";"3022.14"
"DOCKWISE";"BMG2786A2052";"DOCKW";"NYSE Euronext Amsterdam";"EUR";"14.21";"14.40";"13.76";"13.99";"07/09/2012 17:35";"CET";"42186";"589051.62"
"DOLPHIN INTEGRAT.";"FR0004022754";"ALDOL";"NYSE Alternext Paris";"EUR";"3.02";"3.02";"3.02";"3.02";"04/09/2012 15:30";"CET";"1";"3.02"
"DOMINO PRINTING";"GB0002748050";"DNOl";"NYSE Arca Europe";"GBP";"530.00";"530.00";"530.00";"530.00";"24/07/2012 09:52";"CET";"100";"53000.00"
"DOMINO S PIZZA UK";"GB00B1S49Q91";"DOMl";"NYSE Arca Europe";"GBP";"510.50";"510.50";"510.00";"510.00";"01/08/2012 16:46";"CET";"143";"72930.50"
"DOUGLAS HOLDING";"DE0006099005";"DOUd";"NYSE Arca Europe";"EUR";"36.90";"36.925";"35.745";"35.745";"28/08/2012 17:21";"CET";"179";"30342.945"
"DOW CHEMICAL";"US2605431038";"DOWCP";"NYSE Euronext Paris";"EUR";"23.17";"23.38";"23.17";"23.38";"07/09/2012 16:44";"CET";"335";"7779.99"
"DOW CHEMICAL";"US2605431038";"DOWn";"NYSE Arca Europe";"USD";"-";"-";"-";"-";"-";"-";"-";"-"
"DOW CHEMICAL CERT";"BE0004594355";"DOWB";"NYSE Euronext Brussels";"EUR";"24.00";"24.00";"24.00";"24.00";"07/09/2012 16:30";"CET";"117";"2808.00"
"DPA GROUP";"NL0009197771";"DPA";"NYSE Euronext Amsterdam";"EUR";"1.33";"1.37";"1.263";"1.37";"07/09/2012 17:21";"CET";"8694";"11539.692"
"DRAGON OIL";"IE0000590798";"DGOl";"NYSE Arca Europe";"GBP";"554.00";"554.00";"554.00";"554.00";"30/07/2012 09:11";"CET";"3318";"1838172.00"
"DRAX GROUP";"GB00B1VNSX38";"DRXl";"NYSE Arca Europe";"GBP";"473.70";"483.70";"471.80";"483.70";"01/08/2012 16:44";"CET";"3705";"1967311.60"
"DRDGOLD";"ZAE000058723";"MLDUR";"Marché Libre Paris";"EUR";"0.41";"0.41";"0.41";"0.41";"06/09/2012 15:00";"CET";"50";"20.50"
"DRDGOLD C.10";"QS0010679379";"DRDP";"Marché Libre Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"DRDGOLD C.25";"QS0010679387";"DRRP";"Marché Libre Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"DRDGOLD C.5";"QS0010679361";"DRRC";"Marché Libre Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"DRDGOLD CERT.BELG.";"BE0004520582";"DRD";"NYSE Euronext Brussels";"EUR";"0.47";"0.48";"0.47";"0.48";"07/09/2012 16:20";"CET";"21700";"10341.00"
"DRDGOLD UNITE";"ZAE000002275";"DRRU";"Marché Libre Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"DRILLISCH";"DE0005545503";"DRId";"NYSE Arca Europe";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"DSM KON";"NL0000009827";"DSM";"NYSE Euronext Amsterdam";"EUR";"38.385";"38.795";"38.225";"38.65";"07/09/2012 17:35";"CET";"926334";"35746859.02"
"DSV";"DK0060079531";"DSVc";"NYSE Arca Europe";"DKK";"129.20";"129.20";"129.20";"129.20";"06/09/2012 10:27";"CET";"77";"9948.40"
"DU PONT DE NEMOURS";"US2635341090";"DUPP";"NYSE Euronext Paris";"EUR";"38.67";"39.31";"38.67";"39.31";"06/09/2012 16:58";"CET";"557";"21556.47"
"DU PONT(EI) DE NMR";"US2635341090";"DDn";"NYSE Arca Europe";"USD";"-";"-";"-";"-";"-";"-";"-";"-"
"DUC";"FR0000036287";"DUC";"NYSE Euronext Paris";"EUR";"2.60";"2.60";"2.60";"2.60";"07/09/2012 16:30";"CET";"95";"247.00"
"DUERR";"DE0005565204";"DUEd";"NYSE Arca Europe";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"DUNEDIN INCOME GRO";"GB0003406096";"DIGl";"NYSE Arca Europe";"GBP";"171.50";"171.50";"171.50";"171.50";"10/06/2010 10:24";"CET";"210";"-"
"DUNELM GROUP";"GB00B1CKQ739";"DNLMl";"NYSE Arca Europe";"GBP";"564.50";"564.50";"563.00";"563.00";"27/07/2012 11:02";"CET";"376";"212063.00"
"DURAN";"FR0010731414";"DRN";"NYSE Euronext Paris";"EUR";"2.52";"2.52";"2.52";"2.52";"05/10/2011 11:30";"CET";"2770";"-"
"DURO FELGUERA";"ES0162600417";"MDFe";"NYSE Arca Europe";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"DUVEL MOORTGAT";"BE0003762763";"DUV";"NYSE Euronext Brussels";"EUR";"80.00";"82.00";"79.25";"80.50";"07/09/2012 16:54";"CET";"3590";"290701.39"
"DYNACTION";"FR0000130353";"DYT";"NYSE Euronext Paris";"EUR";"7.10";"7.75";"7.10";"7.40";"07/09/2012 17:26";"CET";"9263";"70393.12"
"DYNAFOND";"FR0000052920";"MLDYN";"Marché Libre Paris";"EUR";"1.26";"1.26";"1.26";"1.26";"06/09/2012 15:00";"CET";"100";"126.00"
"E STAR ALTERNATIV";"HU0000089198";"ESTARt";"NYSE Arca Europe";"HUF";"-";"-";"-";"-";"-";"-";"-";"-"
"E.ON";"DE000ENAG999";"EOANd";"NYSE Arca Europe";"EUR";"19.12";"19.12";"19.04";"19.04";"07/09/2012 17:08";"CET";"1163";"123219.84"
"E.ON NOM.";"DE000ENAG999";"E.ON";"Traded not listed Amsterdam";"EUR";"18.40";"18.40";"18.40";"18.40";"04/09/2012 16:30";"CET";"330";"6072.00"
"E.SANTO FIN.NOM";"LU0202957089";"ESFN";"NYSE Euronext Lisbon";"EUR";"5.20";"5.20";"5.20";"5.20";"04/09/2012 21:59";"BST";"400";"2080.00"
"E.SANTO FINANCIAL";"LU0011904405";"ESF";"NYSE Euronext Lisbon";"EUR";"5.43";"5.499";"5.43";"5.49";"07/09/2012 22:35";"BST";"11003";"60073.779"
"EADS";"NL0000235190";"EAD";"NYSE Euronext Paris";"EUR";"30.605";"30.80";"30.16";"30.25";"07/09/2012 17:35";"CET";"1311653";"39789356.585"
"EASSON TELECOM";"HK0000038783";"MLEAS";"Marché Libre Paris";"EUR";"0.25";"0.25";"0.25";"0.25";"15/08/2012 15:00";"CET";"1090";"272.50"
"EASYJET";"GB00B7KR2P84";"EZJl";"NYSE Arca Europe";"GBP";"-";"-";"-";"-";"-";"-";"-";"-"
"EASYVISTA";"FR0010246322";"ALEZV";"NYSE Alternext Paris";"EUR";"3.20";"3.20";"3.20";"3.20";"07/09/2012 15:30";"CET";"1";"3.20"
"EAUX DE DOUAI";"FR0005142999";"MLEAU";"Marché Libre Paris";"EUR";"250.00";"250.00";"250.00";"250.00";"07/09/2012 15:00";"CET";"11";"2750.00"
"EAUX DE ROYAN";"FR0007200100";"MLEDR";"Marché Libre Paris";"EUR";"131.00";"131.00";"131.00";"131.00";"05/09/2012 15:00";"CET";"90";"11790.00"
"EAVS";"FR0010536185";"MLEAV";"Marché Libre Paris";"EUR";"13.95";"13.95";"13.95";"13.95";"23/07/2010 15:00";"CET";"10";"-"
"EBAY";"US2786421030";"EBAYn";"NYSE Arca Europe";"USD";"-";"-";"-";"-";"-";"-";"-";"-"
"EBIZCUSS.COM";"FR0000078859";"ALEBI";"NYSE Alternext Paris";"EUR";"0.03";"0.12";"0.03";"0.08";"04/06/2012 17:05";"CET";"641340";"46316.17"
"EBRO FOODS";"ES0112501012";"EBROe";"NYSE Arca Europe";"EUR";"17.12";"17.20";"17.12";"17.20";"12/05/2011 17:09";"CET";"69";"-"
"ECA";"FR0010099515";"ECASA";"NYSE Euronext Paris";"EUR";"9.09";"9.10";"9.09";"9.10";"07/09/2012 17:20";"CET";"1295";"11781.45"
"ECKERT-ZIEGLER BG";"BE0003689032";"EZBG";"NYSE Euronext Brussels";"EUR";"1.39";"1.39";"1.39";"1.39";"07/09/2012 09:00";"CET";"50";"69.50"
"ECM REAL ESTATE IN";"LU0259919230";"ECMk";"NYSE Arca Europe";"CZK";"-";"-";"-";"-";"-";"-";"-";"-"
"ECODIS (D)";"BE0003871887";"ECOD";"NYSE Alternext Brussels";"EUR";"0.10";"0.10";"0.10";"0.10";"05/09/2012 15:30";"CET";"4000";"400.00"
"ECOFIN WAT&POW OPP";"GB00B09LK252";"ECWOl";"NYSE Arca Europe";"GBP";"141.00";"141.00";"141.00";"141.00";"18/06/2010 17:28";"CET";"252";"-"
"ECOLUTIONS";"DE000A0XYM45";"MLECO";"Marché Libre Paris";"EUR";"5.80";"5.80";"5.80";"5.80";"30/07/2010 15:00";"CET";"10";"-"
"ECONOCOM GROUP";"BE0003563716";"ECONB";"NYSE Euronext Brussels";"EUR";"18.99";"19.00";"18.51";"18.65";"07/09/2012 17:35";"CET";"25966";"486205.57"
"EDENRED";"FR0010908533";"EDEN";"NYSE Euronext Paris";"EUR";"22.075";"22.075";"21.70";"22.00";"07/09/2012 17:35";"CET";"369577";"8112791.68"
"EDF";"FR0010242511";"EDF";"NYSE Euronext Paris";"EUR";"16.71";"17.135";"16.55";"17.07";"07/09/2012 17:35";"CET";"2177864";"37014003.01"
"EDINBURGH DRAGON";"GB0002945029";"EFMl";"NYSE Arca Europe";"GBP";"226.80";"226.80";"226.80";"226.80";"25/06/2012 16:06";"CET";"350";"79380.00"
"EDINBURGH INV TRUS";"GB0003052338";"EDINl";"NYSE Arca Europe";"GBP";"503.50";"503.50";"503.50";"503.50";"23/07/2012 09:50";"CET";"18";"9063.00"
"EDINBURGH UK TRACK";"GB0005596985";"EUKl";"NYSE Arca Europe";"GBP";"-";"-";"-";"-";"-";"-";"-";"-"
"EDIP";"FR0000071995";"MLEDI";"Marché Libre Paris";"EUR";"0.42";"0.42";"0.42";"0.42";"01/10/2009 15:00";"CET";"200";"-"
"EDITIONS DU SIGNE";"FR0000052755";"MLEDS";"Marché Libre Paris";"EUR";"1.45";"1.45";"1.45";"1.45";"31/08/2012 15:00";"CET";"500";"725.00"
"EDITIONS GRANADA";"FR0010935320";"MLGRA";"Marché Libre Paris";"EUR";"4.74";"4.74";"4.74";"4.74";"22/06/2012 15:00";"CET";"200";"948.00"
"EDP";"PTEDP0AM0009";"EDP";"NYSE Euronext Lisbon";"EUR";"2.097";"2.183";"2.091";"2.155";"07/09/2012 22:36";"BST";"8631089";"18642616.652"
"EDP RENOVAVEIS";"ES0127797019";"EDPR";"NYSE Euronext Lisbon";"EUR";"3.05";"3.115";"3.05";"3.089";"07/09/2012 22:35";"BST";"645844";"1994783.218"
"EES";"FR0010945733";"MLEES";"Marché Libre Paris";"EUR";"20.00";"20.00";"20.00";"20.00";"07/09/2012 15:00";"CET";"25";"500.00"
"EFG INTERNATIONAL";"CH0022268228";"EFGNz";"NYSE Arca Europe";"CHF";"8.78";"8.78";"8.78";"8.78";"21/03/2012 15:13";"CET";"157";"1378.46"
"EGIDE";"FR0000072373";"GID";"NYSE Euronext Paris";"EUR";"4.26";"4.40";"4.26";"4.39";"07/09/2012 11:23";"CET";"2021";"8720.39"
"EGIS RT";"HU0000053947";"EGISt";"NYSE Arca Europe";"HUF";"-";"-";"-";"-";"-";"-";"-";"-"
"EI TOWERS";"IT0003043418";"EITm";"NYSE Arca Europe";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"EIFFAGE";"FR0000130452";"FGR";"NYSE Euronext Paris";"EUR";"24.54";"25.07";"24.535";"24.90";"07/09/2012 17:36";"CET";"411004";"6153605.34"
"ELAN CORPORATION P";"IE0003072950";"DRXi";"NYSE Arca Europe";"EUR";"4.468";"4.468";"4.468";"4.468";"21/12/2010 16:43";"CET";"200";"-"
"ELEC.MADAGASCAR";"FR0000035719";"EEM";"NYSE Euronext Paris";"EUR";"9.00";"9.00";"8.65";"8.88";"07/09/2012 14:38";"CET";"3513";"30639.44"
"ELEC.STRASBOURG";"FR0000031023";"ELEC";"NYSE Euronext Paris";"EUR";"96.99";"97.00";"96.45";"96.45";"07/09/2012 16:36";"CET";"685";"66433.09"
"ELECTRA PRIVATE EQ";"GB0003085445";"ELTAl";"NYSE Arca Europe";"GBP";"1640.00";"1640.00";"1640.00";"1640.00";"22/06/2012 15:23";"CET";"25";"41000.00"
"ELECTROCOMPONENTS";"GB0003096442";"ECMl";"NYSE Arca Europe";"GBP";"216.60";"216.60";"216.60";"216.60";"31/07/2012 16:00";"CET";"967";"209452.20"
"ELECTROLUX B";"SE0000103814";"ELUXBs";"NYSE Arca Europe";"SEK";"168.10";"168.10";"164.60";"166.70";"06/09/2012 15:55";"CET";"1574";"746647.20"
"ELEKTA B";"SE0000163628";"EKTABs";"NYSE Arca Europe";"SEK";"336.40";"336.40";"336.40";"336.40";"30/08/2012 16:48";"CET";"31";"10428.40"
"ELEMENTIS";"GB0002418548";"ELMl";"NYSE Arca Europe";"GBP";"228.80";"228.80";"228.80";"228.80";"07/09/2012 17:00";"CET";"277";"63377.60"
"ELI LILLY & CO";"US5324571083";"LLYn";"NYSE Arca Europe";"USD";"-";"-";"-";"-";"-";"-";"-";"-"
"ELIA";"BE0003822393";"ELI";"NYSE Euronext Brussels";"EUR";"31.38";"31.78";"31.29";"31.61";"07/09/2012 17:36";"CET";"23901";"754442.73"
"ELIA STRIP";"BE0005597688";"ELIS";"NYSE Euronext Brussels";"EUR";"0.139";"0.139";"0.139";"0.139";"07/09/2012 15:00";"CET";"1411";"196.129"
"ELISA CORPORATION";"FI0009007884";"ELI1Vh";"NYSE Arca Europe";"EUR";"16.83";"16.83";"16.83";"16.83";"07/09/2012 12:00";"CET";"103";"1733.49"
"ELIXENS";"FR0000054611";"ELIX";"NYSE Euronext Paris";"EUR";"13.55";"13.55";"13.55";"13.55";"07/09/2012 11:30";"CET";"150";"2032.50"
"ELRINGKLINGER";"DE0007856023";"ZIL2d";"NYSE Arca Europe";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"EMAKINA GROUP (D)";"BE0003843605";"ALEMK";"NYSE Alternext Brussels";"EUR";"8.90";"8.90";"8.90";"8.90";"07/09/2012 15:30";"CET";"15";"133.50"
"EMC CORP";"US2686481027";"EMCn";"NYSE Arca Europe";"USD";"-";"-";"-";"-";"-";"-";"-";"-"
"EMD MUSIC (D)";"BE0003849669";"EMD";"Marché Libre Brussels";"EUR";"5.44";"5.44";"5.44";"5.44";"12/07/2012 15:00";"CET";"100";"544.00"
"EMERSON ELECTRIC";"US2910111044";"EMRn";"NYSE Arca Europe";"USD";"-";"-";"-";"-";"-";"-";"-";"-"
"EMME";"FR0004155000";"EME";"NYSE Euronext Paris";"EUR";"2.91";"2.91";"2.91";"2.91";"31/08/2012 16:30";"CET";"294";"855.54"
"ENAGAS";"ES0130960018";"ENGe";"NYSE Arca Europe";"EUR";"13.46";"13.47";"13.46";"13.47";"24/04/2012 14:46";"CET";"357";"9437.31"
"ENCE";"ES0130625512";"ENCe";"NYSE Arca Europe";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"ENCRES DUBUIT";"FR0004030708";"DBT";"NYSE Euronext Paris";"EUR";"2.54";"2.54";"2.54";"2.54";"07/09/2012 17:35";"CET";"43";"109.22"
"ENDESA";"ES0130670112";"ELEe";"NYSE Arca Europe";"EUR";"13.59";"13.59";"13.59";"13.59";"15/08/2012 16:55";"CET";"127";"1725.93"
"ENEL";"IT0003128367";"ENELm";"NYSE Arca Europe";"EUR";"2.55";"2.55";"2.55";"2.55";"30/08/2012 17:18";"CET";"5593";"14262.15"
"ENEL GREEN POWER";"IT0004618465";"EGPWm";"NYSE Arca Europe";"EUR";"1.139";"1.139";"1.139";"1.139";"30/07/2012 13:31";"CET";"100";"113.90"
"ENEOVIA";"FR0010535849";"MLENE";"Marché Libre Paris";"EUR";"0.27";"0.27";"0.27";"0.27";"07/09/2012 15:00";"CET";"14500";"3915.00"
"ENGINEERING INGEGN";"IT0003029441";"ENGm";"NYSE Arca Europe";"EUR";"22.58";"22.58";"22.58";"22.58";"06/02/2012 12:01";"CET";"188";"4245.04"
"ENI";"IT0003132476";"ENI";"Traded not listed Amsterdam";"EUR";"17.60";"17.60";"17.60";"17.60";"07/09/2012 16:30";"CET";"448";"7884.80"
"ENI";"IT0003132476";"ENIm";"NYSE Arca Europe";"EUR";"17.59";"17.59";"17.59";"17.59";"06/09/2012 16:11";"CET";"141";"2480.19"
"ENQUEST";"GB00B635TG28";"ENQl";"NYSE Arca Europe";"GBP";"112.10";"112.10";"112.10";"112.10";"01/08/2012 14:59";"CET";"132";"14797.20"
"ENTERGY";"US29364G1031";"ETRn";"NYSE Arca Europe";"USD";"-";"-";"-";"-";"-";"-";"-";"-"
"ENTERPRISE INNS";"GB00B1L8B624";"ETIl";"NYSE Arca Europe";"GBP";"33.89";"33.89";"33.89";"33.89";"13/09/2011 09:24";"CET";"1300";"-"
"ENTREPARTICULIERS";"FR0010424697";"ALENT";"NYSE Alternext Paris";"EUR";"1.82";"1.82";"1.80";"1.80";"07/09/2012 17:20";"CET";"1224";"2217.68"
"ENTREPRENDRE";"FR0000045122";"MLENR";"Marché Libre Paris";"EUR";"53.24";"53.24";"53.24";"53.24";"05/07/2012 15:00";"CET";"1";"53.24"
"ENVIPCO (D)";"NL0009901610";"ENVI";"NYSE Euronext Brussels";"EUR";"4.50";"4.93";"4.50";"4.93";"05/09/2012 16:30";"CET";"127";"577.95"
"ENVIPCO STRIP (D)";"BE0005645198";"ENVS";"NYSE Euronext Brussels";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"ENVIRONNEMENT SA";"FR0010278762";"ALTEV";"NYSE Alternext Paris";"EUR";"18.89";"18.89";"18.75";"18.75";"07/09/2012 12:10";"CET";"301";"5668.24"
"EO2";"FR0010465534";"MLEO2";"Marché Libre Paris";"EUR";"3.26";"3.26";"3.26";"3.26";"07/09/2012 15:00";"CET";"380";"1238.80"
"EOS IMAGING";"FR0011191766";"EOSI";"NYSE Euronext Paris";"EUR";"3.41";"3.55";"3.41";"3.51";"07/09/2012 17:35";"CET";"40948";"142711.95"
"ERAMET";"FR0000131757";"ERA";"NYSE Euronext Paris";"EUR";"90.05";"92.79";"90.05";"92.31";"07/09/2012 17:35";"CET";"33481";"3071765.48"
"ERG";"IT0001157020";"ERGm";"NYSE Arca Europe";"EUR";"5.51";"5.59";"5.51";"5.59";"27/04/2012 14:02";"CET";"544";"5491.52"
"ERICSSON B";"SE0000108656";"ERICBs";"NYSE Arca Europe";"SEK";"62.20";"62.20";"62.20";"62.20";"31/08/2012 17:23";"CET";"1371";"85276.20"
"ERSTE GROUP BANK";"AT0000652011";"EBSv";"NYSE Arca Europe";"EUR";"15.63";"15.63";"15.63";"15.63";"30/08/2012 09:33";"CET";"79";"1234.77"
"ERYPLAST (D)";"BE0003866838";"ERY";"Marché Libre Brussels";"EUR";"1.50";"1.50";"1.50";"1.50";"06/08/2012 15:08";"CET";"2762";"4143.00"
"ERYPLAST STR VV(D)";"BE0005611828";"ERYS";"Marché Libre Brussels";"EUR";"0.01";"0.01";"0.01";"0.01";"08/06/2012 15:30";"CET";"5409";"54.09"
"ESI GROUP";"FR0004110310";"ESI";"NYSE Euronext Paris";"EUR";"18.70";"19.65";"18.69";"19.65";"07/09/2012 17:26";"CET";"23965";"458375.46"
"ESKER";"FR0000035818";"ALESK";"NYSE Alternext Paris";"EUR";"9.01";"9.36";"9.01";"9.36";"07/09/2012 17:35";"CET";"11620";"107625.16"
"ESPACE PRODUCTION";"FR0004048072";"EHO";"NYSE Euronext Paris";"EUR";"10.55";"10.55";"10.55";"10.55";"05/09/2012 11:30";"CET";"400";"4220.00"
"ESPRINET";"IT0003850929";"PRTm";"NYSE Arca Europe";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"ESR";"FR0000072969";"ESRP";"NYSE Euronext Paris";"EUR";"1.27";"1.27";"1.27";"1.27";"07/09/2012 09:55";"CET";"820";"1041.40"
"ESSAR ENERGY";"GB00B5SXPF57";"ESSRl";"NYSE Arca Europe";"GBP";"99.50";"99.50";"99.30";"99.30";"05/09/2012 16:38";"CET";"1305";"142667.50"
"ESSILOR INTL.";"FR0000121667";"EI";"NYSE Euronext Paris";"EUR";"73.85";"74.22";"72.27";"72.37";"07/09/2012 17:35";"CET";"949731";"69551038.12"
"ESSO";"FR0000120669";"ES";"NYSE Euronext Paris";"EUR";"59.80";"61.00";"58.61";"60.85";"07/09/2012 17:35";"CET";"4363";"262251.31"
"EST MEDIA VAGYONKE";"HU0000113261";"ESTMEt";"NYSE Arca Europe";"HUF";"-";"-";"-";"-";"-";"-";"-";"-"
"EST REPUBLICAIN";"FR0005310463";"MLEST";"Marché Libre Paris";"EUR";"29.04";"29.04";"29.04";"29.04";"02/07/2012 15:00";"CET";"23";"667.92"
"ESTORIL SOL N";"PTESO0AM0000";"ESON";"NYSE Euronext Lisbon";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"ESTORIL SOL P";"PTESO0AE0000";"ESO";"NYSE Euronext Lisbon";"EUR";"1.41";"1.41";"1.41";"1.41";"05/09/2012 21:30";"BST";"30";"42.30"
"ETAM DEVELOPPEMENT";"FR0000035743";"TAM";"NYSE Euronext Paris";"EUR";"13.94";"14.12";"13.54";"13.71";"07/09/2012 17:35";"CET";"922";"12860.81"
"ETU.REALI.MOULES";"FR0000063950";"ERMO";"NYSE Euronext Paris";"EUR";"7.75";"7.75";"7.75";"7.75";"06/09/2012 11:30";"CET";"10";"77.50"
